runs,a.bin,d657166d0fbb82fe1df26bd98166263bb885a8dbc24b53c7dc5a3106af54587f,1
typed,a.bin,1
text,a.bin,1
runs,b.bin,ed07e77ea02ad64ee327821255f539e3bd9926edc963698872706fc0a2ec3cc8,1
typed,b.bin,1
text,b.bin,1
runs,empty.bin,25bf155273a700862f8583fec8712c06367d2fd6eb4234279b59c593300d98d2,1
typed,empty.bin,1
text,empty.bin,1
runs,random_1.txt,7563094a47a7f3b619df600ec4bd02432b0de334665a481bb02cff4f8f71eb07,1
typed,random_1.txt,1
text,random_1.txt,1
runs,random_1_end.txt,27acb26c13900f4f3a9df220a1964dde7e694a5ccd7f34e29148f3af47b834b1,1
typed,random_1_end.txt,1
text,random_1_end.txt,1
runs,random_1_middle.txt,a87728b335a3f684746c5e2d09eff45156f6e2a48218f547beb76fcc9dda9cd2,1
typed,random_1_middle.txt,1
text,random_1_middle.txt,1
runs,random_1_start.txt,7831617a2d23368ea14f5f59c0d59b86337b12580ea40bc637eb6959588e8b72,1
typed,random_1_start.txt,1
text,random_1_start.txt,1
runs,random_2.txt,ca361ee66446f4845f37b6748dc7d0875e6eb90f407995f23b2f714387ffa212,1
typed,random_2.txt,1
text,random_2.txt,1
runs,random_2_end.txt,7fbe6302aef47d16e01956a0766267806032e3c2e4c5a7ecb3da668c108b4afa,1
typed,random_2_end.txt,1
text,random_2_end.txt,1
runs,random_2_middle.txt,fed01468155d6a2bda7de5c72f3ad97eef80cdb8a602558bf491529c555407e5,1
typed,random_2_middle.txt,1
text,random_2_middle.txt,1
runs,random_2_start.txt,e86ed4cf458b2c1a660cd20ade63883845d3b0e35a3c542e72982fbfce5f4d65,1
typed,random_2_start.txt,1
text,random_2_start.txt,1
runs,random_3.txt,bf0574e66c59816cfbf4edb288ad7fa6fd86b34ea44714915b03578fef1fef1a,1
typed,random_3.txt,1
text,random_3.txt,1
runs,random_3_end.txt,5d8793eb0f8b032b9fa8c1606aec945c7b05d7d7ed86166a1a3c3c9e7749ede5,1
typed,random_3_end.txt,1
text,random_3_end.txt,1
runs,random_3_middle.txt,cb1ce6677e337b7acc6136368032a9bcefdc6cc67a86b31ed9c7e32b444ddb02,1
typed,random_3_middle.txt,1
text,random_3_middle.txt,1
runs,random_3_start.txt,576863a17837552fdb9e5c5aa753469f7671b6924af96dae4e0965c35cd8d00f,1
typed,random_3_start.txt,1
text,random_3_start.txt,1
runs,struct_len15.txt,0bde54252aa2136e3db2a6ebe2745ba7db2d42fb558d4abc76d0c441fe678f5d,1
typed,struct_len15.txt,1
text,struct_len15.txt,1
runs,struct_len16.txt,542d5d8ef9481fe58bd14c894cdc43891ce9c82e0ba608bab803e2bf2da9de99,1
typed,struct_len16.txt,1
text,struct_len16.txt,1
runs,struct_len17.txt,32e362a484bb183448a7b81cd64117e4d17a43dd7399d8c3c06c435984ed7e40,1
typed,struct_len17.txt,1
text,struct_len17.txt,1
runs,struct_newline_crlf.txt,24ef7e95a97721b67bb9c8697cfc3c17d03814a25e49f721ff1942d48a4da769,1
runs,struct_newline_lf.txt,24ef7e95a97721b67bb9c8697cfc3c17d03814a25e49f721ff1942d48a4da769,1
