hash,mode,bits,bin_bits,bin_percent,count
SHA-1,simbolis,160,62,38.750,119
SHA-1,simbolis,160,63,39.375,183
SHA-1,simbolis,160,64,40.000,250
SHA-1,simbolis,160,65,40.625,402
SHA-1,simbolis,160,66,41.250,537
SHA-1,simbolis,160,67,41.875,746
SHA-1,simbolis,160,68,42.500,1038
SHA-1,simbolis,160,69,43.125,1359
SHA-1,simbolis,160,70,43.750,1779
SHA-1,simbolis,160,71,44.375,2315
SHA-1,simbolis,160,72,45.000,2834
SHA-1,simbolis,160,73,45.625,3469
SHA-1,simbolis,160,74,46.250,4012
SHA-1,simbolis,160,75,46.875,4602
SHA-1,simbolis,160,76,47.500,5205
SHA-1,simbolis,160,77,48.125,5647
SHA-1,simbolis,160,78,48.750,6062
SHA-1,simbolis,160,79,49.375,6226
SHA-1,simbolis,160,80,50.000,6250
SHA-1,simbolis,160,81,50.625,6216
SHA-1,simbolis,160,82,51.250,5993
SHA-1,simbolis,160,83,51.875,5606
SHA-1,simbolis,160,84,52.500,5178
SHA-1,simbolis,160,85,53.125,4597
SHA-1,simbolis,160,86,53.750,3929
SHA-1,simbolis,160,87,54.375,3500
SHA-1,simbolis,160,88,55.000,2767
SHA-1,simbolis,160,89,55.625,2311
SHA-1,simbolis,160,90,56.250,1827
SHA-1,simbolis,160,91,56.875,1382
SHA-1,simbolis,160,92,57.500,1044
SHA-1,simbolis,160,93,58.125,819
SHA-1,simbolis,160,94,58.750,534
SHA-1,simbolis,160,95,59.375,377
SHA-1,simbolis,160,96,60.000,260
SHA-1,simbolis,160,97,60.625,163
SHA-1,simbolis,160,98,61.250,106
SHA-1,simbolis,160,99,61.875,75
SHA-1,simbolis,160,100,62.500,65
SHA-1,simbolis,160,101,63.125,30
SHA-1,simbolis,160,102,63.750,11
SHA-1,simbolis,160,103,64.375,8
SHA-1,simbolis,160,104,65.000,6
SHA-1,simbolis,160,105,65.625,3
SHA-1,simbolis,160,106,66.250,1
SHA-1,simbolis,160,107,66.875,1
SHA-256,simbolis,256,94,36.719,2
SHA-256,simbolis,256,95,37.109,4
SHA-256,simbolis,256,96,37.500,3
SHA-256,simbolis,256,98,38.281,4
SHA-256,simbolis,256,99,38.672,8
SHA-256,simbolis,256,100,39.062,15
SHA-256,simbolis,256,101,39.453,17
SHA-256,simbolis,256,102,39.844,25
SHA-256,simbolis,256,103,40.234,43
SHA-256,simbolis,256,104,40.625,53
SHA-256,simbolis,256,105,41.016,89
SHA-256,simbolis,256,106,41.406,115
SHA-256,simbolis,256,107,41.797,161
SHA-256,simbolis,256,108,42.188,207
SHA-256,simbolis,256,109,42.578,281
SHA-256,simbolis,256,110,42.969,389
SHA-256,simbolis,256,111,43.359,584
SHA-256,simbolis,256,112,43.750,692
SHA-256,simbolis,256,113,44.141,852
SHA-256,simbolis,256,114,44.531,1126
SHA-256,simbolis,256,115,44.922,1406
SHA-256,simbolis,256,116,45.312,1618
SHA-256,simbolis,256,117,45.703,1969
SHA-256,simbolis,256,118,46.094,2284
