pairs,v2,10,100000,0,0,200000,200000,0
trunc,v2,10,24,200000,1240,1192.087
trunc,v2,10,32,200000,6,4.657
trunc,v2,10,40,200000,0,0.018
pairs,v2,100,100000,0,0,200000,200000,0
trunc,v2,100,24,200000,1165,1192.087
trunc,v2,100,32,200000,7,4.657
trunc,v2,100,40,200000,0,0.018
pairs,v2,500,100000,0,0,200000,200000,0
trunc,v2,500,24,200000,1115,1192.087
trunc,v2,500,32,200000,2,4.657
trunc,v2,500,40,200000,0,0.018
pairs,v2,1000,100000,0,0,200000,200000,0
trunc,v2,1000,24,200000,1134,1192.087
trunc,v2,1000,32,200000,4,4.657
trunc,v2,1000,40,200000,0,0.018
pairs,v1,10,100000,0,0,200000,200000,0
trunc,v1,10,24,200000,1226,1192.087
trunc,v1,10,32,200000,5,4.657
trunc,v1,10,40,200000,0,0.018
pairs,v1,100,100000,0,0,200000,200000,0
trunc,v1,100,24,200000,1200,1192.087
trunc,v1,100,32,200000,4,4.657
trunc,v1,100,40,200000,0,0.018
pairs,v1,500,100000,0,0,200000,200000,0
trunc,v1,500,24,200000,1195,1192.087
trunc,v1,500,32,200000,4,4.657
trunc,v1,500,40,200000,0,0.018
pairs,v1,1000,100000,0,0,200000,200000,0
trunc,v1,1000,24,200000,1186,1192.087
trunc,v1,1000,32,200000,4,4.657
trunc,v1,1000,40,200000,0,0.018
pairs,ratas,10,100000,0,0,200000,200000,0
trunc,ratas,10,24,200000,1245,1192.087
trunc,ratas,10,32,200000,3,4.657
trunc,ratas,10,40,200000,0,0.018
pairs,ratas,100,100000,0,0,200000,200000,0
trunc,ratas,100,24,200000,1169,1192.087
trunc,ratas,100,32,200000,3,4.657
trunc,ratas,100,40,200000,0,0.018
pairs,ratas,500,100000,0,0,200000,200000,0
trunc,ratas,500,24,200000,1185,1192.087
trunc,ratas,500,32,200000,2,4.657
trunc,ratas,500,40,200000,0,0.018
pairs,ratas,1000,100000,0,0,200000,200000,0
trunc,ratas,1000,24,200000,1144,1192.087
trunc,ratas,1000,32,200000,5,4.657
trunc,ratas,1000,40,200000,0,0.018
